id	English	मराठी	ಕನ್ನಡ
paginator.next_page	Next Page	पुढील पृष्ठ	ಮುಂದಿನ ಪುಟ
paginator.of	of	च्या	ನ
paginator.previous_page	Previous Page	मागील पान	ಹಿಂದಿನ ಪುಟ
component.PAN_NUMBER	PAN Number	पॅन क्रमांक	ಪ್ಯಾನ್ ಸಂಖ್ಯೆ
component.GSTN_NUMBER	GSTIN Number	गस्टिन क्रमांक	ಜಿಎಸ್ಟಿಎನ್ ಸಂಖ್ಯೆ
error.PAN_REQUIRED	PAN Number is required	पॅन क्रमांक आवश्यक आहे	ಪ್ಯಾನ್ ಸಂಖ್ಯೆ ಅಗತ್ಯವಿದೆ
error.GSTN_REQUIRED	GSTIN Number is required	जीएसटीआयएन नंबर आवश्यक आहे	ಜಿಎಸ್ಟಿಎನ್ ಸಂಖ್ಯೆ ಅಗತ್ಯವಿದೆ
error.PAN_INVALID	PAN Number is invalid	पॅन क्रमांक अवैध आहे	ಪ್ಯಾನ್ ಸಂಖ್ಯೆ ಅಮಾನ್ಯವಾಗಿದೆ
error.GSTN_INVALID	GSTIN Number is invalid	जीएसटीआयएन क्रमांक अवैध आहे	ಜಿಎಸ್ಟಿಎನ್ ಸಂಖ್ಯೆ ಅಮಾನ್ಯವಾಗಿದೆ
Z_END_OF_FILE	*	*	*
